Table_Number,Year,Measure,Age,Sex,Indigenous_Status,CS_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
8A.9,2021-22,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,20.3,7,21.4,12.6,26.9,15.2,7.6,8.6,15.9
8A.9,2020-21,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,22.9,6.2,19.7,12.1,24,14.4,8.6,8.7,15.6
8A.9,2019-20,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,23.8,8.3,22.1,12,27.7,15.7,11.4,8.6,16.9
8A.9,2018-19,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,20.1,8.8,24.2,13.7,27.3,16.6,11.2,10.7,16.4
8A.9,2017-18,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,16.6,11,22.8,12.5,14.3,20.4,10,10,15.3
8A.9,2016-17,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,17.6,11.7,26.2,12.1,19.4,21.3,11.6,9.1,16.7
8A.9,2015-16,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,17.4,12,26.1,10.6,20.2,22.7,10.8,8.4,16.5
8A.9,2014-15,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,16.7,13.5,23.2,9.5,17.5,24.8,12.5,9.2,16.3
8A.9,2013-14,Community corrections staff,Adults,All people,All people,Community correction,,Community corrections,Offender-to-total staff,,,,Derived from State and territory governments (unpublished),ratio,16.7,13.3,23.7,9.5,18.8,25.5,20,10.6,16.7
8A.10,2022-23,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,85.4,93.7,65.7,87.7,75.3,70.3,90.2,72.2,81.4
8A.10,2021-22,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,86.3,93.2,65.5,84.2,78.3,60.7,87.1,61.8,80.1
8A.10,2020-21,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,88.4,94.3,65.2,82.2,74.9,55.6,86.7,71.4,80.7
8A.10,2019-20,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,85.7,93.1,68.5,83.2,81.6,53.8,80.7,72.4,81.4
8A.10,2018-19,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,84.1,91.6,71.2,74.2,83.2,64.1,80.7,80.4,80.3
8A.11,2022-23,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Pre-certificate Level 1 courses,,,,Derived from State and territory governments (unpublished),%,1.4,0.9,11.8,4.5,24.1,12.4,0,0,6.1
8A.11,2022-23,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Secondary school education,,,,Derived from State and territory governments (unpublished),%,4.7,0,4.1,0,0,0,0,0,2.1
8A.11,2022-23,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Vocational Education and Training,,,,Derived from State and territory governments (unpublished),%,9.8,29.8,13.3,18.9,30.4,12.7,21.4,6.3,18
8A.11,2022-23,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Higher education,,,,Derived from State and territory governments (unpublished),%,0.2,1.1,5,0.9,0.4,2,2.6,1.9,1.5
8A.11,2022-23,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,16.1,31.1,29.7,23,48.3,21.5,24,8.2,25.8
8A.11,2021-22,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,12.1,30.3,26.6,21.6,49.5,17.6,11.5,11.2,23.7
8A.11,2020-21,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,18.1,33.3,32.6,28.6,54.1,19.8,68.5,8.4,29.5
8A.11,2019-20,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,22.7,31.8,32.9,30.3,70.4,19.4,71.4,4.2,32
8A.11,2018-19,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,22.9,39.5,38.2,29.7,68.6,24.8,70.8,32.7,35.1
8A.11,2017-18,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,22.4,36.3,36.2,25.6,79.5,25.1,77.3,15.1,34
8A.11,2016-17,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,24.6,34.1,39.1,24.6,63.4,16,70.6,31,32.9
8A.11,2015-16,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,32.2,34.1,35.6,28.5,67.4,14.4,72.3,24.4,34.4
8A.11,2014-15,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,31.7,35.7,28,24,53.1,16.9,76.3,14.1,31.6
8A.11,2013-14,Prisoner education and training,Adults,All people,All people,Prison,,Prisoners in education and training,Total,,,,Derived from State and territory governments (unpublished),%,33.6,33.4,26.4,29.1,59.4,13.1,82.7,12.8,32.3
8A.12,2022-23,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Commercial industries,,,,Derived from State and territory governments (unpublished),%,44.8,33.3,27.1,13.5,33.8,14.3,0,27,30.2
8A.12,2022-23,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Service industries,,,,Derived from State and territory governments (unpublished),%,39.3,60.4,38.7,74.2,41.3,55.9,89.1,41.6,50.6
8A.12,2022-23,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Work release,,,,Derived from State and territory governments (unpublished),%,1.3,..,..,0,0.2,0,1.1,3.6,0.5
8A.12,2022-23,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,85.4,93.7,65.7,87.7,75.3,70.3,90.2,72.2,81.4
8A.12,2021-22,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,86.3,93.2,65.5,84.2,78.3,60.7,87.1,61.8,80.1
8A.12,2020-21,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,88.4,94.3,65.2,82.2,74.9,55.6,86.7,71.4,80.7
8A.12,2019-20,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,85.7,93.1,68.5,83.2,81.6,53.8,80.7,72.4,81.4
8A.12,2018-19,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,84.1,91.6,71.2,74.2,83.2,64.1,80.7,80.4,80.3
8A.12,2017-18,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,87.7,91.5,67,75.2,87.4,69.7,75.6,77.3,80.5
8A.12,2016-17,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,78.4,87.1,68.8,68.7,68,59,74.7,78.7,74.7
8A.12,2015-16,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,80.4,87.5,68.9,66,71.2,53.4,71.1,79.3,74.9
8A.12,2014-15,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,76.1,89.3,66,73.7,68.3,57.8,65.4,74.7,74.8
8A.12,2013-14,Prisoner employment,Adults,All people,All people,Prison,,Prisoner employment,Total,,,,Derived from State and territory governments (unpublished),%,79.7,88.1,69.2,74.4,72.8,67,69.5,75.2,77.1
8A.13,2022-23,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Open,,,State and territory governments (unpublished),hr/day,9.4,13.3,15.8,15.7,15.4,17,12,14.9,12.3
8A.13,2022-23,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Secure,,,State and territory governments (unpublished),hr/day,7,9.5,7.8,8.6,8.3,7.1,9.5,7.9,8.1
8A.13,2022-23,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,7.6,10,8.4,9.6,8.9,7.3,9.5,11.3,8.8
8A.13,2021-22,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,7.3,9.6,8.4,10,8.4,7.7,9.3,11.7,8.7
8A.13,2020-21,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,8.6,10.1,9,10.6,8.8,8,8.9,11.8,9.4
8A.13,2019-20,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,8.6,10.2,9,11.3,9.3,7.1,9.1,11.8,9.6
8A.13,2018-19,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,8.2,11,9.5,11.4,8.6,7.9,9.4,12.2,9.7
8A.13,2017-18,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,8.4,11.1,9.1,12,10.1,8.6,8.4,12.4,9.9
8A.13,2016-17,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,8,11.4,10.3,12.3,9.5,8.8,8.9,12.5,10.1
8A.13,2015-16,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,7.8,11.1,10.3,12.5,9.6,8.6,9,12.1,9.9
8A.13,2014-15,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,8,11.3,9.6,12.4,9.2,9,8.9,16.6,10.1
8A.13,2013-14,Time out-of-cells per day,Adults,All people,All people,Prison,,Prison,Time out-of-cells per day,Total,,,State and territory governments (unpublished),hr/day,8.2,11.1,10.2,12.6,9.6,9,8.9,13,10.1
8A.14,2022-23,Community work,Adults,All people,All people,Community correction,,Community work,For orders discharged during the financial year,Imposed hours of unpaid community work acquitted,,,Derived from State and territory governments (unpublished),%,70.5,59.5,77.9,65.3,43.2,78.5,84.5,76.9,67.6
8A.14,2021-22,Community work,Adults,All people,All people,Community correction,,Community work,For orders discharged during the financial year,Imposed hours of unpaid community work acquitted,,,Derived from State and territory governments (unpublished),%,77.7,58.9,77.2,64.7,49.8,78.8,64.9,71.7,72.2
8A.14,2020-21,Community work,Adults,All people,All people,Community correction,,Community work,For orders discharged during the financial year,Imposed hours of unpaid community work acquitted,,,Derived from State and territory governments (unpublished),%,84.7,64.5,75,62.2,60.5,72.5,60.6,73.2,77
8A.14,2019-20,Community work,Adults,All people,All people,Community correction,,Community work,For orders discharged during the financial year,Imposed hours of unpaid community work acquitted,,,Derived from State and territory governments (unpublished),%,68,62.2,73.2,62.2,54.2,79.5,70.7,65.1,65.6
8A.15,2022-23,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,Open,,,,Derived from State and territory governments (unpublished),%,83.2,70.6,83.2,78.7,76.7,54.1,36,85.8,
8A.15,2022-23,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,Secure,,,,Derived from State and territory governments (unpublished),%,78.8,74.3,92.2,83.2,94.7,76.5,90,101.8,
8A.15,2022-23,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,79.9,73.9,91.5,82.6,92.9,75.7,87.6,93.5,
8A.15,2021-22,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2020-21,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2019-20,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2018-19,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2017-18,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2016-17,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2015-16,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2014-15,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.15,2013-14,Prison capacity utilisation,Adults,All people,All people,Prison,,Prison capacity utilisation,All prisons,,,,Derived from State and territory governments (unpublished),%,na,na,na,na,na,na,na,na,
8A.16,2022-23,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,6,0,5,2,1,0,1,0,15
8A.16,2022-23,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.05,0,0.05,0.03,0.03,0,0.26,0,0.04
8A.16,2021-22,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,9,1,0,2,1,2,1,1,17
8A.16,2021-22,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.07,0.01,0,0.03,0.03,0.31,0.26,0.05,0.04
8A.16,2020-21,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,12,2,4,6,0,0,0,0,24
8A.16,2020-21,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.09,0.03,0.04,0.09,0,0,0,0,0.06
8A.16,2019-20,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,10,3,5,1,0,0,0,2,21
8A.16,2019-20,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.07,0.04,0.06,0.01,0,0,0,0.12,0.05
8A.16,2018-19,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,13,6,4,5,0,1,0,0,29
8A.16,2018-19,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.1,0.07,0.04,0.07,0,0.15,0,0,0.07
8A.16,2017-18,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,9,6,2,0,1,0,0,1,19
8A.16,2017-18,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.07,0.08,0.02,0,0.03,0,0,0.06,0.05
8A.16,2016-17,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,12,4,1,2,0,0,1,1,21
8A.16,2016-17,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.09,0.06,0.01,0.03,0,0,0.22,0.06,0.05
8A.16,2015-16,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,6,1,3,6,2,0,1,1,20
8A.16,2015-16,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.05,0.02,0.04,0.1,0.07,0,0.25,0.06,0.05
8A.16,2014-15,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,2,3,3,3,4,2,0,0,17
8A.16,2014-15,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.02,0.05,0.04,0.06,0.15,0.43,0,0,0.05
8A.16,2013-14,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Number,All prisoners,,,Derived from State and territory governments (unpublished),no.,4,0,3,5,2,0,1,1,16
8A.16,2013-14,Deaths from apparent unnatural causes,Adults,All people,All people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,All prisoners,,,Derived from State and territory governments (unpublished),rate,0.04,0,0.04,0.1,0.08,0,0.3,0.07,0.05
8A.18,2022-23,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.42,1.36,3.41,0.79,1.07,1.48,1.8,0.1,
8A.18,2022-23,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,20.93,10.41,10.94,6.34,6.02,17.76,5.66,9.58,
8A.18,2022-23,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0,0.23,0.11,0.16,0.26,0.44,0,0,
8A.18,2022-23,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,1.83,1.72,0.93,1.1,0.42,4,0.26,0.85,
8A.18,2021-22,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.26,0.9,3.02,0.66,0.85,1.09,0.26,0.32,
8A.18,2021-22,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,17.41,10.47,8.34,5.06,3.31,16.36,5.66,8.2,
8A.18,2021-22,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0.01,0.12,0.11,0.16,0.26,0.31,0,0,
8A.18,2021-22,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,1.76,1.27,0.79,0.86,0.26,4.52,0.51,1.07,
8A.18,2020-21,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.27,0.99,2.88,1.08,2.39,1.87,1.22,0.29,
8A.18,2020-21,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,24.62,14.14,9.89,6.45,6.72,17.49,8.28,6.29,
8A.18,2020-21,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0.01,0.07,0.12,0.21,0.07,0,0.24,0.06,
8A.18,2020-21,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,1.8,1.26,0.87,0.75,0.39,2.65,1.46,0.97,
8A.18,2019-20,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.24,0.84,3.38,1.09,2.66,2.41,1.8,0.52,
8A.18,2019-20,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,28.78,17.27,9.81,8.35,5.89,11.75,13.07,7.51,
8A.18,2019-20,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0.01,0.1,0.1,0.22,0.11,0.45,0,0.06,
8A.18,2019-20,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,2.3,1.45,0.77,1.38,0.21,1.81,2.25,1.56,
8A.18,2018-19,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.5,1.13,2.8,1.23,1.69,1.99,3.31,0.29,
8A.18,2018-19,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,26.79,17.04,9.2,8.71,6.41,13.64,9.09,6.03,
8A.18,2018-19,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0,0.12,0.08,0.42,0.03,0,0,0,
8A.18,2018-19,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,1.86,1.19,0.87,2.1,0.62,3.22,0.41,0.41,
8A.18,2017-18,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.31,1.17,2.94,0.56,1.44,1.3,2.32,0.3,
8A.18,2017-18,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,24.9,17.15,8.52,3.97,5.99,12.88,16.02,4.49,
8A.18,2017-18,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0,0.1,0.07,0.1,0.03,0.33,0,0,
8A.18,2017-18,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,1.53,1.16,0.57,1.85,0.26,2.94,1.05,0.12,
8A.18,2016-17,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.29,1.88,3.08,0.83,1.5,2.78,3.59,0.18,
8A.18,2016-17,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,27.48,20.88,10.49,4.13,6.87,7.31,15.72,3.29,
8A.18,2016-17,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0,0.03,0.11,0.14,0.17,0.17,0,0,
8A.18,2016-17,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,1.55,1.63,1.01,1.6,0.63,1.22,1.8,0.37,
8A.18,2015-16,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.59,1.09,2.25,0.84,1.29,1.53,0.75,0.06,
8A.18,2015-16,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,23.68,16.14,7.09,3.74,8.29,8.97,16.92,3.31,
8A.18,2015-16,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0,0.05,0.01,0.17,0,0.38,0,0,
8A.18,2015-16,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,1.95,2.01,0.9,1.35,0.28,3.44,0,0.06,
8A.18,2014-15,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.56,1.69,1.8,0.59,1.4,2.14,3.21,0.13,
8A.18,2014-15,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Assault,,Derived from State and territory governments (unpublished),rate,15.07,12.24,5,5.42,5.86,8.55,12.56,3.06,
8A.18,2014-15,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Serious assault,,Derived from State and territory governments (unpublished),rate,0,0.08,0.08,0.09,0,0,0,0,
8A.18,2014-15,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on officer,Assault,,Derived from State and territory governments (unpublished),rate,0.51,1.56,0.25,1.98,0.79,1.71,0.88,0,
8A.18,2013-14,Assaults in custody,Adults,All people,All people,Prison,,Assaults in custody,Rate per 100 prisoners,Prisoner on prisoner,Serious assault,,Derived from State and territory governments (unpublished),rate,0.36,1.26,1.54,0.3,0.62,0.64,2.41,0.2,
