Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,34.5,51.3,55.3,39,71.4,69.9,34.8,48.4,47.2
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,2702,1699,2206,871,590,83,66,248,8462
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,933,871,1221,340,421,58,23,120,3993
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,8795,5354,4349,2157,1521,213,272,378,23040
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,34.6,31.2,63.6,49.6,44.7,52.1,13.3,79.4,41
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,94.1,95.3,87.3,76.2,88.1,92,107.7,103.7,89.2
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,370,600,545,341,126,25,13,27,2046
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,348,572,476,260,111,23,14,28,1825
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,1068,1923,857,687,282,48,98,34,4990
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,30.9,26,61.3,40.4,45.4,63.4,19.7,60.9,37.8
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,86.7,93.2,84,69.9,83.9,88.5,93.3,82.1,83.8
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,473,279,469,246,118,26,15,39,1672
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,410,260,394,172,99,23,14,32,1401
6A.10,2016,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,1531,1073,765,609,260,41,76,64,4427
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,60.6,57.1,92.1,83.3,82.9,100,57.1,100,72.5
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,88.9,100,96.8,100,100,62.5,100,106.3,93.7
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,63,56,93,40,29,8,4,16,303
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,56,56,90,40,29,5,4,17,284
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,104,98,101,48,35,8,7,16,418
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,27.9,28.9,52.1,33.7,37.7,29,20.8,68.3,34.7
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,36,48.6,56.3,45.5,69.6,68.5,30,60.9,48.7
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,2398,1365,2188,679,599,54,50,274,7609
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,863,663,1232,309,417,37,15,167,3703
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,8603,4719,4199,2012,1590,186,240,401,21948
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,37.3,28.8,59.1,46.1,47.6,42.3,12.6,58.5,39.7
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,91.2,94.7,88.5,87.9,92.2,100,72.7,89.5,91.3
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,444,453,434,305,141,22,11,38,1850
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,405,429,384,268,130,22,8,34,1689
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,1191,1571,734,662,296,52,87,65,4657
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,31.5,23.9,63.8,38,41,46.8,18.5,56.5,36.9
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,82.6,92.8,78.6,74.4,88.1,86.4,50,89.7,81.6
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,547,209,411,238,109,22,10,39,1591
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,452,194,323,177,96,19,5,35,1299
6A.10,2015,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,1736,873,644,626,266,47,54,69,4315
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,76.6,62.3,78.8,80.6,75.7,58.3,0,100,73.8
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,97.6,90.9,100,110.3,82.1,100,..,69.2,95.5
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,82,66,89,29,28,7,0,13,312
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,80,60,89,32,23,7,0,9,298
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,107,106,113,36,37,12,4,13,423
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,36.2,36.7,54.4,40,40.8,37.9,23.6,68.8,41.1
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,29.1,59.7,56.1,43,66.2,81.4,43.8,61.2,47.2
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,2966,1527,2212,777,630,86,48,276,8533
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,864,911,1242,334,417,70,21,169,4030
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,8192,4166,4063,1942,1545,227,203,401,20741
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,31.9,36.7,55.8,42.7,38.7,50,21.1,67.3,38.9
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,81.6,94.7,88.7,91.3,89.8,96.2,95,90.9,88.7
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,566,419,407,277,147,26,20,33,1887
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,462,397,361,253,132,25,19,30,1673
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,1772,1142,729,648,380,52,95,49,4857
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,33.7,30.6,53.6,37.8,37.8,48.4,9.3,73.9,36.7
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,72.6,89.2,78.9,73,77.9,100,128.6,96.1,77.7
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,700,351,337,244,136,15,7,51,1848
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,508,313,266,178,106,15,9,49,1436
6A.10,2014,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,2078,1147,629,646,360,31,75,69,5035
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,61.8,70.7,71.7,61.7,84.2,69.2,0,100,68.4
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,86.4,96.6,92.4,86.2,100,44.4,..,100,91.2
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,81,58,66,29,32,9,0,25,297
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,70,56,61,25,32,4,0,25,271
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Homicide and related offences,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,131,82,92,47,38,13,3,25,434
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,43,30.2,51,38.9,42.7,44.4,29.1,69.9,42
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,48.4,45.5,47.6,41.5,64.7,77.1,47.8,62.1,49
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,3492,1184,2050,710,580,83,69,256,8414
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,1689,539,975,295,375,64,33,159,4120
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Sexual assault,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,8121,3920,4019,1825,1359,187,237,366,20025
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,31.7,36.3,49.6,38.6,40.1,60.3,23,37.5,37.6
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,86.5,92.9,91,87.1,88.3,93.2,100,83.3,89
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,628,496,491,295,137,44,17,12,2118
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,543,461,447,257,121,41,17,10,1884
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Armed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,1984,1365,989,765,342,73,74,32,5631
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,27.3,29.7,50.9,31.1,37.1,75.5,20.2,60.3,32.6
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,77.4,88.6,80.6,72.6,77.5,89.2,82.4,76.3,79.9
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,749,367,408,208,160,37,17,38,1983
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,580,325,329,151,124,33,14,29,1585
6A.10,2013,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected personal offences,,Unarmed robbery,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,2741,1237,801,668,431,49,84,63,6076
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,14.3,10.6,24.5,24.8,6.5,15.7,4,26.7,18.2
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,88.1,98,91.1,72,66.9,90.8,58.1,41.3,84
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,4412,3269,11560,5473,623,392,74,1655,27453
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,3885,3202,10529,3939,417,356,43,684,23058
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,30934,30840,47277,22059,9543,2491,1872,6194,151200
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,14.8,17.4,46.6,35.4,10.1,21.2,6.5,28.6,28.4
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,87.7,94.9,74.8,65.3,70.2,79.2,80.5,74.1,77.5
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,1462,2243,8474,2377,363,318,77,286,15604
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,1282,2128,6338,1553,255,252,62,212,12091
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,9909,12917,18195,6718,3609,1501,1181,1001,55037
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,16.8,11.5,31.8,21.7,6.1,31.2,4.5,32.2,19.6
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,78.5,96.1,56,60.5,55.7,89.6,39.6,17,66.2
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,17400,12397,40216,15557,2705,2412,318,2159,93154
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,13659,11919,22511,9417,1508,2161,126,366,61672
6A.11,2022,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,103714,107970,126394,71852,44228,7727,7140,6710,475725
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,13.8,10.2,23.5,21.2,6.4,14.9,3.2,28.7,16.8
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,89.1,97.8,92.2,72.9,73.1,89.8,74.2,53.2,85.5
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,3901,3041,9162,4751,681,371,62,1362,23329
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,3476,2973,8443,3465,498,333,46,725,19949
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,28200,29716,38909,22408,10717,2488,1911,4745,139088
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,13.3,16.3,44.3,33.5,9.2,21.3,5.9,29.2,25.7
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,85.2,93.3,73.8,65,77.3,79.8,78.7,72.5,76.7
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,1317,1974,6434,2201,313,257,75,207,12781
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,1122,1842,4749,1431,242,205,59,150,9808
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,9917,12132,14510,6577,3412,1205,1276,708,49735
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,14.4,10.6,31.5,19.3,4.9,32.8,4,38.8,18.1
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,77.5,95.5,59.9,63.8,56.8,89.5,44.6,17.5,67.9
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,13602,11288,35346,12711,2067,2169,307,2525,80014
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,10546,10782,21186,8106,1175,1942,137,441,54306
6A.11,2021,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,94722,106776,112379,65857,41905,6605,7733,6503,442475
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,11.5,8.1,23.2,18.6,6.2,16.5,3.8,29.6,15.2
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,86.7,96.6,92.3,69.4,72.9,92.4,69.3,55,84.9
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,3001,2548,8683,3796,642,447,75,1110,20317
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,2602,2462,8017,2633,468,413,52,611,17257
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,26084,31286,37359,20365,10334,2711,1975,3749,133871
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,10.9,13.2,46.8,31.2,11.7,18.5,7,36.1,24.5
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,84.4,92.9,72.7,60.2,69,81.3,77.2,79.5,75.2
